"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"94,Michael Carter-Williams\cartemi01,PG,27,ORL,8,145,15.5,.445,.318,.341,7.3,20.2,13.6,27.8,1.4,4.0,10.6,17.0,,0.1,0.2,0.4,.118,,-1.5,2.8,1.3,0.1"
"95,Alex Caruso\carusal01,PG,24,LAL,20,343,14.7,.623,.358,.474,4.3,8.6,6.5,13.6,2.3,1.7,14.2,16.2,,0.6,0.4,1.0,.138,,0.2,0.4,0.5,0.2"
"96,Omri Casspi\casspom01,SF,30,MEM,36,520,15.8,.606,.267,.360,3.6,21.7,12.4,8.1,1.9,1.7,11.0,18.0,,0.6,0.7,1.3,.120,,-2.0,0.2,-1.8,0.0"
"97,Willie Cauley-Stein\caulewi01,C,25,SAC,77,2125,18.0,.566,.003,.344,8.3,23.6,15.8,12.7,2.0,2.0,9.2,17.7,,3.6,2.9,6.6,.148,,-0.1,2.3,2.2,2.3"
"98,Troy Caupain\caupatr01,PG,23,ORL,4,16,30.8,.625,.375,.000,6.6,13.6,10.0,43.1,3.1,0.0,0.0,21.8,,0.1,0.0,0.1,.347,,9.4,-0.4,9.0,0.0"
"99,Tyler Cavanaugh\cavanty01,PF,24,UTA,8,19,5.4,.436,.500,.333,5.8,16.8,11.4,0.0,0.0,0.0,12.7,17.7,,0.0,0.0,0.0,-0.021,,-8.1,-5.4,-13.5,-0.1"
"100,Tyson Chandler\chandty01,C,36,TOT,55,875,11.3,.630,.010,.879,11.2,25.3,18.3,5.3,1.1,2.1,23.4,8.5,,0.9,1.1,2.1,.114,,-3.1,1.7,-1.3,0.2"
"100,Tyson Chandler\chandty01,C,36,PHO,7,89,11.5,.653,.000,1.500,8.6,40.4,24.3,9.2,1.1,0.9,26.0,13.0,,0.1,0.1,0.2,.095,,-5.0,0.1,-4.9,-0.1"
"100,Tyson Chandler\chandty01,C,36,LAL,48,786,11.2,.626,.011,.793,11.4,23.6,17.6,4.8,1.1,2.3,23.0,8.0,,0.9,1.0,1.9,.117,,-2.8,1.9,-0.9,0.2"
"101,Wilson Chandler\chandwi01,PF-SF,31,TOT,47,1104,8.7,.542,.580,.084,4.7,14.5,9.7,9.4,1.1,1.4,14.2,11.5,,0.5,1.0,1.6,.067,,-1.1,0.5,-0.6,0.4"
"101,Wilson Chandler\chandwi01,PF,31,PHI,36,951,9.1,.561,.570,.087,5.1,13.4,9.4,10.0,1.1,1.5,15.4,11.2,,0.6,0.9,1.5,.075,,-0.7,0.7,0.0,0.5"
"101,Wilson Chandler\chandwi01,SF,31,LAC,11,153,6.1,.451,.628,.070,2.2,21.5,12.1,6.1,0.9,1.0,8.3,13.3,,-0.1,0.2,0.1,.021,,-3.5,-0.8,-4.3,-0.1"
"102,Joe Chealey\chealjo01,PG,23,CHO,1,8,2.0,.333,.000,.000,0.0,0.0,0.0,17.7,0.0,0.0,0.0,16.1,,0.0,0.0,0.0,-0.079,,-8.9,-8.2,-17.2,0.0"
"103,Chris Chiozza\chiozch01,PG,23,HOU,3,9,-1.8,.000,.000,.000,0.0,12.7,6.2,0.0,5.5,0.0,0.0,9.7,,0.0,0.0,0.0,-0.156,,-13.2,1.4,-11.8,0.0"
"104,Marquese Chriss\chrisma01,PF,21,TOT,39,450,9.0,.465,.421,.245,8.5,23.1,15.5,6.9,1.4,2.1,16.2,20.4,,-0.5,0.3,-0.2,-0.020,,-4.6,-1.4,-6.0,-0.5"
"104,Marquese Chriss\chrisma01,PF,21,HOU,16,104,3.4,.391,.441,.206,7.3,23.0,15.0,8.3,0.9,3.3,24.4,20.5,,-0.3,0.1,-0.2,-0.104,,-9.3,-0.3,-9.6,-0.2"
"104,Marquese Chriss\chrisma01,PF,21,CLE,23,346,10.7,.485,.416,.256,8.9,23.1,15.7,6.5,1.6,1.7,13.7,20.4,,-0.2,0.2,0.0,.005,,-3.2,-1.7,-4.9,-0.3"
"105,Gary Clark\clarkga01,PF,24,HOU,47,608,9.0,.485,.911,.052,3.6,16.3,9.8,3.8,1.5,3.5,4.2,10.3,,0.3,0.6,0.9,.070,,-2.5,0.6,-1.9,0.0"
"106,Ian Clark\clarkia01,SG,27,NOP,56,827,6.5,.485,.518,.102,1.4,7.8,4.6,12.7,0.9,0.5,14.7,18.5,,-0.7,0.2,-0.4,-0.026,,-3.3,-3.0,-6.3,-0.9"
"107,Jordan Clarkson\clarkjo01,SG,26,CLE,77,2102,17.2,.541,.377,.167,4.0,10.1,7.0,15.7,1.3,0.5,9.5,27.9,,1.9,0.0,2.0,.045,,1.8,-3.5,-1.7,0.2"
"108,John Collins\collijo01,PF,21,ATL,58,1724,21.9,.630,.190,.323,12.3,22.0,17.0,11.0,0.5,1.8,11.1,23.7,,4.9,1.0,5.9,.164,,2.7,-1.3,1.4,1.5"
"109,Zach Collins\colliza01,C,21,POR,72,1273,13.2,.557,.307,.318,8.5,16.6,12.6,7.3,0.9,3.8,14.4,16.4,,1.2,1.4,2.7,.101,,-1.1,1.0,-0.1,0.6"
"110,Darren Collison\collida01,PG,31,IND,74,2104,17.0,.581,.293,.289,1.9,10.0,6.1,29.9,2.5,0.4,14.4,17.6,,4.1,2.9,7.0,.159,,1.4,0.1,1.5,1.9"
"111,Bonzie Colson\colsobo01,SF,23,MIL,6,49,11.4,.379,.500,.182,13.3,25.4,19.7,7.9,1.0,1.7,4.0,21.2,,0.0,0.1,0.1,.057,,-4.2,-1.2,-5.4,0.0"
"112,Mike Conley\conlemi01,PG,31,MEM,70,2342,21.5,.569,.380,.363,1.9,9.8,5.7,33.5,2.0,0.9,9.1,27.3,,5.7,2.4,8.1,.166,,4.8,-1.3,3.5,3.2"
"113,Pat Connaughton\connapa01,SG,26,MIL,57,1157,13.5,.568,.578,.115,5.1,15.0,10.3,12.7,1.2,1.7,7.9,13.3,,1.8,1.8,3.6,.150,,0.4,1.2,1.6,1.0"
"114,Quinn Cook\cookqu01,PG,25,GSW,68,938,12.7,.554,.466,.058,2.5,13.6,8.3,15.1,1.0,0.3,9.9,19.8,,0.8,0.7,1.5,.075,,-0.4,-2.6,-3.0,-0.2"
"115,DeMarcus Cousins\couside01,C,28,GSW,26,660,21.1,.564,.237,.418,5.9,26.2,16.5,20.1,2.4,5.3,14.3,27.2,,0.8,1.3,2.1,.152,,0.0,3.5,3.4,0.9"
"116,Robert Covington\covinro01,SF,28,TOT,35,1203,13.4,.580,.622,.246,2.5,14.5,8.5,5.3,2.9,3.2,10.5,15.6,,1.0,1.6,2.5,.101,,0.5,2.0,2.4,1.3"
"116,Robert Covington\covinro01,SF,28,PHI,13,440,11.0,.578,.658,.197,1.7,14.0,8.1,4.3,2.6,4.1,14.8,14.2,,0.0,0.7,0.7,.078,,-1.2,2.6,1.3,0.4"
"116,Robert Covington\covinro01,SF,28,MIN,22,763,14.7,.580,.604,.269,2.9,14.8,8.8,5.8,3.1,2.7,8.4,16.4,,0.9,0.9,1.8,.115,,1.5,1.6,3.1,1.0"
"117,Allen Crabbe\crabbal01,SG,26,BRK,43,1133,7.7,.519,.694,.150,1.5,12.2,6.9,5.8,1.0,0.9,10.4,16.5,,-0.2,0.9,0.8,.033,,-1.9,-0.6,-2.6,-0.2"
"118,Torrey Craig\craigto01,SF,28,DEN,69,1380,9.8,.532,.513,.178,6.3,12.5,9.4,5.9,1.2,2.6,10.6,12.6,,0.9,1.5,2.5,.086,,-1.3,0.7,-0.7,0.5"
"119,Jamal Crawford\crawfja01,SG,38,PHO,61,1111,9.7,.491,.465,.243,0.8,6.7,3.7,27.1,1.2,0.8,18.0,19.3,,-0.5,0.0,-0.4,-0.018,,-3.2,-4.1,-7.3,-1.5"
"120,Mitch Creek\creekmi01,SF,26,BRK,4,36,21.5,.573,.100,.700,14.7,14.6,14.7,20.3,1.3,0.0,0.0,15.3,,0.2,0.0,0.2,.257,,3.2,-0.1,3.2,0.0"
"121,Jae Crowder\crowdja01,SF,28,UTA,76,2086,12.1,.538,.657,.245,3.1,15.6,9.5,8.8,1.5,1.1,8.8,19.0,,1.2,3.0,4.2,.096,,0.0,0.5,0.5,1.3"
"122,Dante Cunningham\cunnida01,PF,31,SAS,61,895,10.6,.599,.409,.117,5.9,16.7,11.3,6.8,1.4,1.2,11.5,9.0,,1.1,0.8,1.9,.102,,-0.7,0.8,0.1,0.5"
"123,Seth Curry\curryse01,SG,28,POR,71,1324,11.3,.596,.537,.120,2.1,6.8,4.5,6.7,1.2,0.7,10.9,16.4,,1.5,0.8,2.3,.083,,0.4,-1.8,-1.3,0.2"
"124,Stephen Curry\curryst01,PG,30,GSW,64,2196,24.6,.641,.604,.219,2.2,14.0,8.4,24.2,1.9,0.9,11.4,30.6,,6.9,2.2,9.1,.199,,7.9,-1.6,6.3,4.6"
"125,Troy Daniels\danietr01,SG,27,PHO,47,669,10.7,.572,.711,.093,2.0,9.2,5.6,5.4,1.6,0.6,9.2,18.1,,0.3,0.2,0.4,.031,,-0.6,-3.4,-4.0,-0.3"
"126,Anthony Davis\davisan02,C,25,NOP,56,1850,30.3,.597,.141,.422,9.9,27.6,18.9,19.1,2.2,6.0,8.4,29.5,,6.5,3.1,9.6,.248,,4.7,3.9,8.6,5.0"
"127,Deyonta Davis\davisde01,C,22,ATL,4,47,14.6,.643,.100,.200,6.6,18.3,12.4,5.9,1.0,3.7,0.0,9.4,,0.1,0.0,0.1,.152,,-1.5,0.5,-1.0,0.0"
"128,Ed Davis\davised01,C,29,BRK,77,1393,17.1,.627,.007,.521,16.0,34.9,25.5,6.3,1.2,1.9,15.2,12.7,,3.0,2.4,5.4,.187,,-1.4,1.9,0.4,0.8"
"129,Tyler Davis\davisty01,C,21,OKC,1,1,0.0,.000,.000,.000,100.0,0.0,51.6,0.0,0.0,0.0,0.0,40.8,,0.0,0.0,0.0,-0.476,,-15.0,-20.6,-35.6,0.0"
"130,Dewayne Dedmon\dedmode01,C,29,ATL,64,1609,16.1,.602,.413,.215,6.8,25.1,15.8,8.1,2.0,3.8,12.7,16.7,,2.1,1.9,4.1,.121,,-0.4,1.7,1.4,1.4"
"131,Sam Dekker\dekkesa01,PF,24,TOT,43,689,14.4,.540,.218,.195,7.0,14.4,10.6,8.8,2.4,0.9,8.1,16.1,,0.7,0.4,1.1,.079,,-1.2,-0.6,-1.8,0.0"
"131,Sam Dekker\dekkesa01,PF,24,CLE,9,169,14.0,.544,.271,.208,5.7,16.5,10.8,7.9,3.2,0.0,8.7,14.8,,0.2,0.1,0.3,.081,,-1.0,-0.3,-1.3,0.0"
"131,Sam Dekker\dekkesa01,PF,24,WAS,34,520,14.5,.539,.203,.192,7.4,13.8,10.6,9.1,2.1,1.1,7.9,16.5,,0.5,0.3,0.9,.079,,-1.2,-0.7,-1.9,0.0"
"132,Angel Delgado\delgaan01,C,24,LAC,2,15,4.4,.255,.000,.400,14.6,13.7,14.2,0.0,3.2,0.0,0.0,16.6,,0.0,0.0,0.0,-0.051,,-8.6,-3.9,-12.5,0.0"
"133,Matthew Dellavedova\dellama01,PG,28,TOT,48,812,11.1,.532,.537,.215,0.8,9.9,5.2,31.9,0.8,0.2,20.4,17.9,,0.5,0.0,0.5,.029,,-1.3,-4.1,-5.4,-0.7"
"133,Matthew Dellavedova\dellama01,PG,28,MIL,12,97,7.5,.482,.579,.211,0.0,9.9,5.2,35.7,1.0,0.0,34.6,13.7,,0.0,0.1,0.1,.046,,-5.5,-3.0,-8.5,-0.2"
"133,Matthew Dellavedova\dellama01,PG,28,CLE,36,715,11.6,.537,.534,.215,0.9,9.9,5.2,31.4,0.8,0.2,18.9,18.4,,0.5,-0.1,0.4,.027,,-0.7,-4.2,-5.0,-0.5"
"134,Luol Deng\denglu01,SF,33,MIN,22,392,14.6,.588,.373,.297,5.4,14.6,9.9,6.5,1.8,1.7,9.5,15.8,,0.5,0.3,0.8,.102,,-0.1,-0.5,-0.7,0.1"
"135,DeMar DeRozan\derozde01,SG,29,SAS,72,2535,19.5,.538,.035,.324,2.2,16.6,9.5,27.7,1.5,1.1,11.4,28.1,,3.3,2.4,5.7,.108,,0.3,0.4,0.7,1.8"
"136,Marcus Derrickson\derrima01,PF,22,GSW,9,54,10.3,.543,.583,.167,10.4,5.7,7.9,2.6,0.0,1.6,10.4,22.8,,0.0,0.0,0.0,.038,,-1.0,-5.8,-6.7,-0.1"
"137,Cheick Diallo\diallch01,PF,22,NOP,60,806,17.7,.638,.012,.270,9.0,29.5,19.4,4.2,1.6,3.3,14.2,16.5,,1.2,1.1,2.3,.138,,-2.5,0.3,-2.1,0.0"
"138,Hamidou Diallo\diallha01,SG,20,OKC,49,525,10.1,.497,.145,.358,7.3,12.0,9.5,4.4,1.8,1.6,10.7,16.6,,0.1,0.7,0.7,.068,,-4.3,-0.4,-4.8,-0.4"
"139,Gorgui Dieng\dienggo01,C,29,MIN,71,913,18.1,.579,.155,.290,8.3,24.7,16.4,9.3,2.3,3.6,11.6,18.6,,1.4,1.2,2.6,.139,,-0.9,1.6,0.7,0.6"
"140,Spencer Dinwiddie\dinwisp01,PG,25,BRK,64,1802,16.7,.584,.440,.439,1.4,7.7,4.6,26.0,1.0,0.7,13.3,25.4,,3.4,1.3,4.7,.124,,2.1,-2.2,-0.2,0.8"
"141,Donte DiVincenzo\divindo01,SG,22,MIL,27,411,9.1,.507,.669,.097,4.2,11.4,8.0,9.7,1.5,1.2,12.8,15.1,,0.0,0.6,0.6,.071,,-1.9,0.2,-1.7,0.0"
"142,Luka Doncic\doncilu01,SG,19,DAL,70,2254,19.3,.544,.435,.412,3.8,21.5,12.7,31.3,1.6,0.9,15.0,30.5,,2.0,2.6,4.6,.099,,2.7,1.1,3.8,3.3"
"143,Tyler Dorsey\dorsety01,SG,22,TOT,43,555,11.0,.506,.487,.276,4.1,14.1,9.0,12.0,1.0,0.3,7.8,18.7,,0.2,0.3,0.6,.050,,-1.6,-2.4,-4.0,-0.3"
"143,Tyler Dorsey\dorsety01,SG,22,ATL,27,251,7.8,.448,.438,.292,3.7,14.6,9.1,9.4,1.3,0.3,9.1,17.9,,-0.1,0.1,0.0,-0.008,,-4.3,-2.6,-6.8,-0.3"
"143,Tyler Dorsey\dorsety01,SG,22,MEM,16,304,13.7,.554,.527,.264,4.3,13.6,8.9,14.3,0.8,0.3,6.8,19.4,,0.4,0.2,0.6,.098,,0.5,-2.2,-1.7,0.0"
"144,Damyean Dotson\dotsoda01,SG,24,NYK,68,1837,11.5,.534,.488,.151,1.9,12.6,7.1,10.2,1.5,0.4,8.4,17.6,,1.0,0.8,1.8,.047,,-0.5,-1.4,-1.9,0.1"
"145,PJ Dozier\doziepj01,SG,22,BOS,5,14,16.5,.500,.286,.000,15.2,30.7,22.9,0.0,0.0,0.0,0.0,21.5,,0.0,0.0,0.0,.119,,-5.0,-9.4,-14.4,0.0"
"146,Goran Dragic\dragigo01,PG,32,MIA,31,835,14.9,.539,.392,.242,1.5,10.2,5.9,27.0,1.3,0.5,13.0,24.8,,0.8,0.8,1.6,.090,,0.6,-1.8,-1.2,0.2"
"147,Andre Drummond\drumman01,C,25,DET,74,2469,23.4,.552,.038,.384,16.8,34.7,25.4,7.1,2.5,4.3,12.0,23.0,,3.9,5.3,9.2,.179,,-0.7,3.4,2.7,2.9"
"148,Jared Dudley\dudleja01,PF,33,BRK,56,1151,7.1,.542,.632,.170,2.5,10.2,6.4,9.0,1.4,1.0,14.6,10.3,,0.4,1.0,1.4,.059,,-2.1,1.0,-1.1,0.2"
"149,Kris Dunn\dunnkr01,PG,24,CHI,46,1389,12.5,.484,.190,.136,1.5,13.3,7.3,30.0,2.4,1.3,16.2,20.1,,-0.5,1.2,0.7,.023,,-2.0,0.2,-1.8,0.1"
"150,Kevin Durant\duranke01,PF,30,GSW,73,2568,24.1,.626,.279,.369,1.4,17.8,10.0,25.7,1.0,2.6,12.2,29.4,,7.9,2.7,10.6,.197,,4.0,0.0,4.0,3.9"
"151,Trevon Duval\duvaltr01,PG,20,MIL,3,6,38.5,.833,.333,.000,0.0,16.0,8.5,59.0,0.0,0.0,0.0,21.0,,0.1,0.0,0.1,.541,,13.9,-4.1,9.8,0.0"
"152,Vince Edwards\edwarvi01,SF,22,HOU,2,16,3.8,.375,1.000,.000,6.8,7.1,7.0,0.0,0.0,0.0,0.0,10.9,,0.0,0.0,0.0,-0.017,,-4.4,-5.7,-10.0,0.0"
"153,Henry Ellenson\ellenhe01,PF,22,TOT,14,177,11.7,.482,.433,.224,2.3,26.6,14.1,12.0,1.9,0.0,8.7,19.4,,0.0,0.2,0.2,.044,,-3.2,-1.2,-4.4,-0.1"
"153,Henry Ellenson\ellenhe01,PF,22,DET,2,25,14.9,.551,.400,.200,0.0,41.0,19.7,6.2,0.0,0.0,0.0,18.7,,0.0,0.0,0.1,.148,,-3.7,-2.9,-6.6,0.0"
"153,Henry Ellenson\ellenhe01,PF,22,NYK,12,152,11.1,.470,.439,.228,2.7,24.2,13.1,12.9,2.2,0.0,10.0,19.5,,-0.1,0.1,0.1,.026,,-3.2,-0.9,-4.1,-0.1"
"154,Wayne Ellington\ellinwa01,SG,31,TOT,48,1142,11.9,.575,.820,.100,1.1,7.7,4.4,8.0,2.1,0.5,7.7,17.0,,1.2,1.2,2.3,.098,,1.3,-1.1,0.1,0.6"
"154,Wayne Ellington\ellinwa01,SG,31,MIA,25,533,10.9,.547,.842,.087,1.2,8.2,4.7,7.9,2.2,0.5,6.8,16.5,,0.4,0.6,1.0,.091,,0.6,-1.0,-0.4,0.2"
"154,Wayne Ellington\ellinwa01,SG,31,DET,23,609,12.7,.598,.801,.111,1.0,7.3,4.0,8.1,1.9,0.4,8.5,17.5,,0.7,0.6,1.3,.105,,1.9,-1.2,0.6,0.4"
"155,Joel Embiid\embiijo01,C,24,PHI,62,2090,26.1,.597,.218,.549,8.2,34.0,21.5,17.6,1.0,4.4,13.4,33.1,,4.9,3.7,8.6,.197,,1.8,2.1,3.9,3.1"
"156,James Ennis\ennisja01,SF,28,TOT,57,1218,11.1,.591,.533,.278,5.4,10.9,8.1,4.5,1.7,1.5,8.9,12.7,,1.6,1.0,2.6,.103,,-0.5,-0.3,-0.8,0.4"
"156,James Ennis\ennisja01,SF,28,HOU,40,949,11.3,.622,.569,.275,4.2,9.6,6.9,4.1,2.0,1.4,8.9,11.9,,1.4,0.7,2.2,.110,,-0.1,0.0,-0.1,0.5"
"156,James Ennis\ennisja01,SF,28,PHI,17,269,10.3,.510,.438,.288,9.4,15.7,12.6,6.1,0.5,1.8,9.1,15.5,,0.2,0.2,0.4,.080,,-1.7,-1.4,-3.1,-0.1"
"157,Drew Eubanks\eubandr01,PF,21,SAS,20,95,17.5,.703,.000,.591,5.8,25.0,15.5,10.1,0.5,3.6,17.8,15.6,,0.2,0.1,0.3,.165,,-1.7,0.8,-0.9,0.0"
"158,Jacob Evans\evansja02,SG,21,GSW,27,134,0.7,.314,.242,.030,3.3,9.2,6.4,14.3,0.4,0.6,17.3,12.9,,-0.2,0.1,-0.2,-0.067,,-7.2,-2.1,-9.2,-0.2"
"159,Jawun Evans\evansja01,PG,22,PHO,7,64,0.7,.231,.154,.000,1.7,19.3,10.4,20.1,2.2,0.0,31.6,12.7,,-0.2,0.0,-0.2,-0.136,,-10.1,0.1,-10.0,-0.1"
"160,Tyreke Evans\evansty01,SG,29,IND,66,1323,11.4,.481,.325,.229,2.7,12.9,7.9,17.8,2.1,1.1,14.2,26.5,,-1.7,1.9,0.2,.008,,-3.2,-0.4,-3.6,-0.5"
"161,Dante Exum\exumda01,PG,23,UTA,42,664,11.2,.516,.257,.357,2.6,8.3,5.5,24.2,1.0,0.6,15.7,21.3,,0.2,0.7,1.0,.069,,-2.6,-1.4,-3.9,-0.3"
"162,Kenneth Faried\farieke01,C,29,TOT,33,658,22.0,.628,.089,.390,15.0,23.1,19.0,4.9,1.0,2.8,9.8,20.1,,2.0,0.7,2.7,.196,,0.0,-1.0,-1.0,0.2"
"162,Kenneth Faried\farieke01,C,29,BRK,12,118,20.5,.622,.119,.381,13.5,25.8,19.7,2.8,0.8,2.7,10.9,19.6,,0.2,0.2,0.4,.167,,-2.0,-1.6,-3.6,0.0"
"162,Kenneth Faried\farieke01,C,29,HOU,21,540,22.3,.629,.082,.392,15.3,22.6,18.8,5.3,1.0,2.8,9.5,20.2,,1.7,0.6,2.3,.202,,0.5,-0.9,-0.4,0.2"
"163,Derrick Favors\favorde01,C,27,UTA,75,1744,21.9,.624,.127,.371,12.8,21.3,17.1,8.0,1.5,4.9,10.3,19.3,,4.5,3.4,7.9,.217,,1.2,3.2,4.4,2.8"
"164,Cristiano Felicio\feliccr01,C,26,CHI,56,661,14.3,.586,.025,.393,11.9,20.3,16.1,7.1,0.7,0.9,13.2,14.5,,1.0,0.4,1.4,.101,,-1.9,-1.2,-3.1,-0.2"
"165,Raymond Felton\feltora01,PG,34,OKC,28,311,10.5,.484,.404,.114,1.3,7.9,4.5,18.1,1.2,1.6,9.8,17.4,,0.1,0.3,0.4,.065,,-3.1,-1.8,-4.9,-0.2"
"166,Terrance Ferguson\fergute01,SG,20,OKC,69,1796,6.0,.550,.669,.116,1.6,5.5,3.5,4.5,1.0,0.7,8.8,10.4,,0.9,1.5,2.4,.065,,-1.8,-0.5,-2.3,-0.1"
"167,Yogi Ferrell\ferreyo01,PG,25,SAC,66,950,12.5,.546,.427,.182,1.3,9.9,5.5,17.2,1.6,0.4,10.1,16.4,,1.0,0.7,1.7,.086,,-0.8,-1.6,-2.4,-0.1"
"168,Dorian Finney-Smith\finnedo01,SF,25,DAL,77,1882,11.0,.536,.486,.205,7.3,13.2,10.3,6.5,1.8,1.6,11.6,13.6,,1.2,1.9,3.2,.081,,-0.9,1.3,0.4,1.1"
"169,Bryn Forbes\forbebr01,SG,25,SAS,77,2151,11.7,.577,.518,.102,0.9,10.4,5.7,10.3,1.0,0.2,8.9,17.5,,2.0,1.2,3.2,.071,,0.8,-1.8,-1.0,0.6"
"170,Evan Fournier\fournev01,SG,26,ORL,77,2424,12.0,.531,.431,.154,1.7,9.2,5.4,18.2,1.4,0.4,12.2,22.1,,0.5,2.3,2.8,.055,,-0.4,-1.1,-1.6,0.3"
"171,De'Aaron Fox\foxde01,PG,21,SAC,76,2428,17.9,.542,.214,.388,1.7,10.9,6.2,32.7,2.4,1.5,15.1,24.6,,2.8,2.5,5.3,.105,,0.9,0.1,1.0,1.9"
"172,Melvin Frazier\frazime01,SG,22,ORL,9,40,2.3,.344,.222,.111,7.9,5.4,6.7,3.7,1.2,0.0,5.0,21.7,,-0.1,0.0,-0.1,-0.096,,-7.9,-3.7,-11.6,-0.1"
"173,Tim Frazier\fraziti01,PG,28,TOT,55,1019,11.3,.535,.409,.200,3.9,11.3,7.7,28.1,1.2,0.3,21.7,12.6,,1.1,0.6,1.7,.078,,-1.1,-1.4,-2.5,-0.1"
"173,Tim Frazier\fraziti01,PG,28,NOP,47,909,11.6,.552,.395,.210,3.7,11.8,7.8,28.1,1.3,0.4,22.0,12.3,,1.1,0.5,1.5,.081,,-0.8,-1.3,-2.2,0.0"
"173,Tim Frazier\fraziti01,PG,28,MIL,8,110,8.3,.425,.500,.133,5.9,7.0,6.5,28.2,0.8,0.0,20.1,15.2,,0.0,0.1,0.1,.054,,-3.1,-2.1,-5.2,-0.1"
"174,Jimmer Fredette\fredeji01,SG,29,PHO,3,25,0.3,.361,.429,.429,0.0,13.5,6.7,11.4,1.9,0.0,15.3,33.7,,-0.1,0.0,-0.1,-0.260,,-11.3,-5.4,-16.7,-0.1"
"175,Channing Frye\fryech01,C,35,CLE,34,318,8.8,.517,.686,.114,1.3,16.0,8.4,8.7,0.9,1.4,8.3,16.5,,0.1,0.1,0.1,.022,,-1.8,-2.7,-4.5,-0.2"
"176,Markelle Fultz\fultzma01,SG,20,PHI,19,427,10.5,.452,.090,.239,6.7,10.6,8.7,19.7,1.9,0.9,12.7,19.3,,-0.1,0.4,0.3,.036,,-2.9,-0.1,-3.0,-0.1"
"177,Danilo Gallinari\gallida01,SF,30,LAC,65,1977,21.0,.636,.429,.463,2.9,18.2,10.8,12.7,1.1,0.8,8.6,23.7,,6.2,1.8,8.0,.195,,4.2,-1.2,3.0,2.5"
"178,Langston Galloway\gallola01,SG,27,DET,75,1635,11.1,.548,.648,.162,2.8,7.8,5.2,7.4,1.1,0.4,3.8,15.9,,2.2,1.2,3.4,.101,,0.6,-1.5,-0.9,0.5"
"179,Marc Gasol\gasolma01,C,34,TOT,75,2325,16.8,.544,.310,.285,3.5,25.3,14.3,22.5,1.7,3.4,13.6,21.1,,1.8,3.8,5.6,.116,,-0.3,3.2,2.8,2.9"
"179,Marc Gasol\gasolma01,C,34,MEM,53,1788,16.9,.541,.324,.294,3.4,25.6,14.3,22.7,1.7,3.4,13.4,22.3,,1.0,2.9,3.9,.105,,-0.3,3.0,2.8,2.2"
"179,Marc Gasol\gasolma01,C,34,TOR,22,537,16.3,.560,.253,.247,3.7,24.1,14.2,21.8,1.7,3.4,14.4,17.2,,0.7,1.0,1.7,.153,,-0.5,3.6,3.1,0.7"
"180,Pau Gasol\gasolpa01,C,38,TOT,30,360,16.7,.529,.138,.426,6.7,34.2,20.6,19.1,0.7,3.5,12.5,15.5,,0.5,0.5,1.1,.141,,-2.1,2.7,0.6,0.2"
"180,Pau Gasol\gasolpa01,C,38,SAS,27,330,18.1,.544,.114,.432,7.3,34.4,20.9,20.2,0.7,3.6,11.8,15.8,,0.6,0.5,1.1,.159,,-1.3,2.8,1.5,0.3"
"180,Pau Gasol\gasolpa01,C,38,MIL,3,30,1.7,.291,.500,.333,0.0,32.0,17.0,7.7,0.0,2.8,22.5,12.4,,-0.1,0.1,0.0,-0.061,,-10.7,1.7,-9.0,-0.1"
"181,Rudy Gay\gayru01,PF,32,SAS,64,1725,18.0,.593,.249,.192,3.7,23.3,13.5,14.6,1.4,1.7,11.9,21.9,,2.4,2.0,4.4,.123,,0.7,0.7,1.4,1.5"
"182,Paul George\georgpa01,SF,28,OKC,73,2688,23.5,.585,.469,.343,3.7,19.7,11.5,17.8,2.7,1.0,10.1,29.6,,6.7,4.6,11.3,.202,,4.8,0.6,5.5,5.1"
"183,Taj Gibson\gibsota01,PF,33,MIN,70,1686,17.9,.612,.063,.330,10.8,18.3,14.5,7.3,1.5,2.0,10.6,17.1,,3.8,1.3,5.1,.145,,0.8,0.2,1.0,1.3"
"184,Harry Giles\gilesha01,PF,20,SAC,58,820,14.3,.526,.017,.261,8.1,20.0,13.9,15.2,1.8,2.3,15.8,23.2,,0.0,1.0,1.0,.059,,-3.1,1.0,-2.1,0.0"
"185,Shai Gilgeous-Alexander\gilgesh01,PG,20,LAC,78,2051,13.3,.555,.197,.278,2.8,8.2,5.6,17.7,2.1,1.7,15.4,18.2,,1.4,1.9,3.2,.076,,-0.6,0.3,-0.3,0.9"
"186,Rudy Gobert\goberru01,C,26,UTA,77,2440,24.6,.682,.000,.734,13.2,30.7,22.1,9.7,1.2,5.7,12.1,17.7,,8.2,5.4,13.7,.269,,2.0,5.0,7.0,5.6"
"187,Brandon Goodwin\goodwbr01,PG,23,DEN,16,57,8.4,.413,.261,.478,1.9,3.8,2.8,32.0,0.0,0.0,9.7,23.1,,0.0,0.0,0.0,.023,,-4.5,-6.5,-11.0,-0.1"
"188,Aaron Gordon\gordoaa01,PF,23,ORL,74,2491,15.0,.534,.335,.242,5.1,18.3,11.6,16.7,1.1,1.8,12.0,21.9,,1.5,3.1,4.6,.089,,-0.3,1.1,0.8,1.8"
